"% Crown Consumed (crown volume completely consumed by fire)","% Crown Scorch (crown volume scorched/singed by the fire)","% Green Crown (% of crown area green at time of assessment)","% Trunk Burn",Address,"Address Number","Address Street","Affected Parts of the Tree",Archived,"Area of New Growth",City,Code,"Common Name",Condition,"Critical Root Zone(CRZ)","Crown Light Exposure","Crown Width (width of canopy, measured)","CRZ Ratio",Cultivar,"Data Source","Date Added","Date of Assessment","Date Planted",DBH,"DBH Range","DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6","Distance from Nearest Burned Structure","East Canopy Length (in.)",Family,Funder,Genus,Geometry,"GPS Latitude - (Hand Held Unit)","GPS Longitude - (Hand Held Unit)","Grant Cycle","Green Infrastructure Type","Growing Space","Has Ecobenefits","Height Range","Height to Crown Base (measurement to lowest lateral branch)","Impervious Area","Infection Severity","Inspection Cycle","Installed Irrigation","Irrigation type",Jurisdiction,"Jurisdiction (temp)","Land Use","Last Inspection","Last Modified","Last Modified User","Last Watered","Latin Name",Latitude,"Location Description",Longitude,"Maintenance Comments","Measument (A) - Distance from Eye level to Ground (ft.)","Measurment (B) - Distance from You to Trunk (ft.)","Measurment (C) - Clinometer Angle","New Fungal Activity","New Insect Activity","Next Inspection","North Canopy Length (in.)",Notes,"Number of Stems",Observations,"Paid for by","Park Name","Percent Dieback (%)",Photos,"Planting Site Width","Possible Infection?","Presence of Insulating Bark","Primary ID","Project Name","Property Address","Protection Status","Recovery Potential with Interventions",Size,"South Canopy Length (in.)",Status,"Structural Damage to Branches","Structures Burned","Survival Potential","Temperature Outside Tree Shade (F)","Temperature Under Tree Shade (F)","TPZ Ratio","Tree Assessor Name","Tree Comments","Tree Height (Estimated)","Tree Number","Tree Ownership","Tree Protection Zone(TPZ)","Tree Work","Trunk Burn Severity","Trunk Cambium Health",Understory,User,Watering,"Weather Conditions","West Canopy Length (in.)",Wires
,,,,"477 East Altadena Drive",477,"East Altadena Drive",,No,,Altadena,,,,,,,,,,10/23/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000EB9407E1691569C1C1332A0A2AEF4E41,,,,,,No,N/A,,,,,,,,,,,10/23/2025,MartinUCC,,,34.191999372872,,-118.137937377,,,,,,,,,,1,,,,,,,,,65923,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,MartinUCC,,,,
,,,,"153 East Pine Street",153,"East Pine Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/23/2025,,10/21/2025,,N/A,,,,,,,,,,,,0101000020110F00006946B3E4B91569C1C2AA20C3EBEF4E41,,,,,,No,N/A,,,,,,,,,,,10/23/2025,Alyson,,,34.194878232495,,-118.14368762527,,,,,,,,,,1,,,,,,,,,65919,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1 orange tree, 2 unknown ",,1,,,,,,,Alyson,,,,
,,,,"156 East Harriet Street",156,"East Harriet Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/20/2025,,,,N/A,,,,,,,,,,,,0101000020110F000062CB252DDD1569C173C736D46AEE4E41,,,,,,No,N/A,,,,,,,,,,,10/20/2025,Alyson,,,34.189157743561,,-118.14622324573,,,,,,,,,,1,,,,,,,,,65782,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"jacaranda and acacia tree which burned but are coming back. There is a live oak tree that survived right at the property line. Also more coming back, also in the property line with neighbor. ",,1,,,,,,,Alyson,,,,
,,,,"3225 North Olive Avenue",3225,"North Olive Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/17/2025,,,,N/A,,,,,,,,,,,,0101000020110F00009B2029B7351669C14B45E9CB5DF14E41,,,,,,No,N/A,,,,,,,,,,,10/17/2025,Alyson,,,34.200376942557,,-118.15258612884,,,,,,,,,,1,,,,,,,,,65764,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"2 Manzanita and 1 pepper ",,1,,,,,,,Alyson,,,,
,,,,"943 East Altadena Drive",943,"East Altadena Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F00009A5BD3FD021569C18BE3699BCFEE4E41,,,,,,No,N/A,,,,,,,,,,,10/16/2025,Marian,,,34.190655443655,,-118.13054334278,,,,,,,,,,1,,,,,,,,,65722,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,Magnolia,,1,,,,,,,Marian,,,,
,,,,"1202 Beverly Way",1202,"Beverly Way",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F00007A5A7A34C61469C1F0967CD8D0ED4E41,,,,,,No,N/A,,,,,,,,,,,10/16/2025,Marian,,,34.186869290614,,-118.12617490638,,,,,,,,,,1,,,,,,,,,65721,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"One large pine tree, 2 cork oaks and 1 plum tree",,1,,,,,,,Marian,,,,
,,,,"3696 Glenrose Avenue",3696,"Glenrose Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006DC1C504B91569C12D52D78384F24E41,,,,,,No,N/A,,,,,,,,,,,10/16/2025,Marian,,,34.204756202717,,-118.14362476346,,,,,,,,,,1,,,,,,,,,65720,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Lemon tree and not sure what other type",,1,,,,,,,Marian,,,,
,,,,"2790 Glen Avenue",2790,"Glen Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000A9B1B982391669C1A44F07EF74EF4E41,,,,,,No,N/A,,,,,,,,,,,10/16/2025,Marian,,,34.193112364677,,-118.15285886991,,,,,,,,,,1,,,,,,,,,65719,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Live oak, California incense cedar",,1,,,,,,,Marian,,,,
,,,,"998 Alta Pine Drive",998,"Alta Pine Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000D404639AEC1469C1F4692EABACF14E41,,,,,,No,N/A,,,,,,,,,,10/22/2025,10/24/2025,Alyson,10/22/2025,,34.201548936366,,-118.12893439306,,,,,,,,,,1,,,,,,,,,65718,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"unknown but similar to a pine tree",,1,,,,,,,Marian,,,,
,,,,"244 Taos Road",244,"Taos Road",,No,,Altadena,,"Property - Visited",,,,,,,,10/16/2025,,,,N/A,,,,,,,,,,,,0101000020110F000022EDA238711569C1E6A682766BF34E41,,,,,,No,N/A,,,,,,,,,,10/19/2025,10/24/2025,Alyson,10/19/2025,,34.208187729004,,-118.13846502686,,,,,,,,,,1,,,,,,,,,65717,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"mostly live oaks",,1,,,,,,,Marian,,,,
