"% Crown Consumed (crown volume completely consumed by fire)","% Crown Scorch (crown volume scorched/singed by the fire)","% Green Crown (% of crown area green at time of assessment)","% Trunk Burn",Address,"Address Number","Address Street","Affected Parts of the Tree",Archived,"Area of New Growth",City,Code,"Common Name",Condition,"Critical Root Zone(CRZ)","Crown Light Exposure","Crown Width (width of canopy, measured)","CRZ Ratio",Cultivar,"Data Source","Date Added","Date of Assessment","Date Planted",DBH,"DBH Range","DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6","Distance from Nearest Burned Structure","East Canopy Length (in.)",Family,Funder,Genus,Geometry,"GPS Latitude - (Hand Held Unit)","GPS Longitude - (Hand Held Unit)","Grant Cycle","Green Infrastructure Type","Growing Space","Has Ecobenefits","Height Range","Height to Crown Base (measurement to lowest lateral branch)","Impervious Area","Infection Severity","Inspection Cycle","Installed Irrigation","Irrigation type",Jurisdiction,"Jurisdiction (temp)","Land Use","Last Inspection","Last Modified","Last Modified User","Last Watered","Latin Name",Latitude,"Location Description",Longitude,"Maintenance Comments","Measument (A) - Distance from Eye level to Ground (ft.)","Measurment (B) - Distance from You to Trunk (ft.)","Measurment (C) - Clinometer Angle","New Fungal Activity","New Insect Activity","Next Inspection","North Canopy Length (in.)",Notes,"Number of Stems",Observations,"Paid for by","Park Name","Percent Dieback (%)",Photos,"Planting Site Width","Possible Infection?","Presence of Insulating Bark","Primary ID","Project Name","Property Address","Recovery Potential with Interventions",Size,"South Canopy Length (in.)",Status,"Structural Damage to Branches","Structures Burned","Survival Potential","Temperature Outside Tree Shade (F)","Temperature Under Tree Shade (F)","TPZ Ratio","Tree Assessor Name","Tree Comments","Tree Height (Estimated)","Tree Number","Tree Protection Zone(TPZ)","Tree Work","Trunk Burn Severity","Trunk Cambium Health",Understory,User,Watering,"Weather Conditions","West Canopy Length (in.)",Wires
,,,,"448 West Altadena Drive",448,"West Altadena Drive",,No,,Altadena,QUAG,"Coast live oak; California live oak",Good,,,,,,,10/9/2025,,,27,24-30in,,,,,,,,26,Fagaceae,,Quercus,0101000020110F0000FC889D616A1669C1886024B77FF04E41,,,,,,Yes,N/A,,,,,,,,,,10/9/2025,10/9/2025,Marian,,"Quercus agrifolia",34.197076859881,,-118.15637097107,,,,,,,,29,,1,,,,,image.jpg_pg_68e7f8f1a5148.jpg,,,,65623,"Altadena Tree Protection: Properties Served",,,,18,Alive,,,,,,,,"500 gal",,1,,,,,,Dulce,,,12,
,,,,"458 West Altadena Drive",458,"West Altadena Drive",,No,,Altadena,,Pittsporum,Excellent,,,,,,,10/9/2025,,,9.85,6-12in,6,5,6,,,,,9,,,,0101000020110F00005DB9AFA96B1669C11A9964BA8AF04E41,,,,,,No,N/A,,,,,,,,,,10/9/2025,10/9/2025,Marian,,,34.197240509499,,-118.15646306833,,,,,,,,8,,"Multiple Stems",,,,,image.jpg_pg_68e7f7112998d.jpg,,,,65622,"Altadena Tree Protection: Properties Served",,,,5,Alive,,,,,,,,"250 gal",,1,,,,,,Dulce,,,5,
,,,,"458 West Altadena Drive",458,"West Altadena Drive",,No,,Altadena,MA1,"Magnolia species ",Excellent,,,,,,,10/9/2025,,,14,12-18in,,,,,,,,11,Magnoliaceae,,,0101000020110F00000EC2DDD46A1669C12C654BAB8EF04E41,,,,,,Yes,N/A,,,,,,,,,,10/9/2025,10/9/2025,Marian,,Magnolia,34.197299073332,,-118.1564033247,,,,,,,,10,,1,,,,,image.jpg_pg_68e7f63c55bdf.jpg,,,,65621,"Altadena Tree Protection: Properties Served",,,,7,Alive,,,,,,,,500,,1,,,,,,Dulce,,,7,
,,,,"262 Jaxine Drive",262,"Jaxine Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00009D288C9DDC1569C1111CCF97FFF24E41,,,,,,No,N/A,,,,,,,,,,10/7/2025,10/9/2025,Marian,10/7/2025,,34.206584967377,,-118.1461829338,,,,,,,,,,1,,,,,,,,,65620,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"366 East Mendocino Street",366,"East Mendocino Street",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000033D2128DA31569C1AFBA70FB45EE4E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/9/2025,Marian,10/6/2025,,34.188610143734,,-118.14208199147,,,,,,,,,,1,,,,,,,,,65618,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"2806 Grandeur Avenue",2806,"Grandeur Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000F8FFAAA24A1669C11B794E5F76EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.193133743205,,-118.15408954573,,,,,,,,,,1,,,,,,,,,65617,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Oak, olive, and podocarpus",,1,,,,,,Marian,,,,
,,,,"3815 El Sereno Avenue",3815,"El Sereno Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006B95CC52AB1569C14CF03BDA2EF34E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.207287165633,,-118.14264055427,,,,,,,,,,1,,,,,,,,,65616,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"7 crepe Myrtle,, 2 Carolina cherry.. 3 persimmon, 3 Japanese maple, 2 olive, 1liquid amber, 5 oak, 1 jacaranda, 1 California buckeye, 1 pine, 1 native walnut.",,1,,,,,,Marian,,,,
,,,,"391 West Terrace Street",391,"West Terrace Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00004D114DD25C1669C1BE3389193BF04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.196057218473,,-118.15539649147,,,,,,,,,,1,,,,,,,,,65615,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Large Deodar cedar, Large Magnolia.  These need the water the most.  Everything else is secondary, like the dead, young avocado trees.",,1,,,,,,Marian,,,,
,,,,"2256 Pinecrest Drive",2256,"Pinecrest Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000049D57A4DAE1369C109ACE0ED18EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.191745093523,,-118.10605966263,,,,,,,,,,1,,,,,,,,,65614,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Oak, olive,, Chinese elm, laurel plus others",,1,,,,,,Marian,,,,
,,,,"1679 Midwick Drive",1679,"Midwick Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000FCE0ECF4341469C19C6219C763ED4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.185248318916,,-118.11573660837,,,,,,,,,,1,,,,,,,,,65613,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,," City tree, Macadamia tree, Tababua badly burned",,1,,,,,,Marian,,,,
